date	time	filename	physio_files	edf_file	edf_filesize	acq_time
2023-10-23	19:49:32.890000	sub-001/ses-007/dwi/sub-001_ses-007_acq-reliability_dir-LR_dwi.nii.gz	session2023-10-23T19:31:18.acq	fixation_2023-10-23_19h47.56.955_3_session_7.EDF	10974.181640625	2023-10-23 19:49:32.890000
2023-10-23	20:26:34.260000	sub-001/ses-007/func/sub-001_ses-007_task-qct_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-23_20h25.20.999_0_session_7.EDF	1857.71484375	2023-10-23 20:26:34.260000
2023-10-23	20:33:03.240000	sub-001/ses-007/func/sub-001_ses-007_task-rsmovie_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-23_20h31.49.334_0_session_7.EDF	14632.166015625	2023-10-23 20:33:03.240000
2023-10-23	20:55:14.257500	sub-001/ses-007/func/sub-001_ses-007_task-bht_dir-LR_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-23_20h54.11.318_1_session_7.EDF	3753.3671875	2023-10-23 20:55:14.257500
2023-10-23	21:32:27.015000	sub-001/ses-008/dwi/sub-001_ses-008_acq-reliability_dir-RL_dwi.nii.gz	session2023-10-23T21:18:42.acq	fixation_2023-10-23_21h30.29.785_0_session_8.EDF	14442.48046875	2023-10-23 21:32:27.015000
2023-10-23	22:09:48.045000	sub-001/ses-008/func/sub-001_ses-008_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-23_22h08.36.963_0_session_8.EDF	1866.2412109375	2023-10-23 22:09:48.045000
2023-10-23	22:16:09.217500	sub-001/ses-008/func/sub-001_ses-008_task-rsmovie_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-23_22h15.00.201_0_session_8.EDF	14904.9287109375	2023-10-23 22:16:09.217500
2023-10-23	22:37:53.207500	sub-001/ses-008/func/sub-001_ses-008_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-23_22h36.54.314_0_session_8.EDF	3716.05859375	2023-10-23 22:37:53.207500
2023-10-24	19:41:33.572500	sub-001/ses-009/dwi/sub-001_ses-009_acq-reliability_dir-AP_dwi.nii.gz	session2023-10-24T19:24:56.acq	fixation_2023-10-24_19h39.27.478_3_session_9.EDF	5546.6796875	2023-10-24 19:41:33.572500
2023-10-24	20:19:17.267500	sub-001/ses-009/func/sub-001_ses-009_task-qct_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-24_20h15.40.693_0_session_9.EDF	1965.142578125	2023-10-24 20:19:17.267500
2023-10-24	20:25:28.210000	sub-001/ses-009/func/sub-001_ses-009_task-rsmovie_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-24_20h24.27.482_0_session_9.EDF	15362.6494140625	2023-10-24 20:25:28.210000
2023-10-24	20:47:03.320000	sub-001/ses-009/func/sub-001_ses-009_task-bht_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-24_20h46.08.308_0_session_9.EDF	3993.6474609375	2023-10-24 20:47:03.320000
2023-10-24	21:37:14.987500	sub-001/ses-010/dwi/sub-001_ses-010_acq-reliability_dir-RL_dwi.nii.gz	session2023-10-24T21:24:40.acq	fixation_2023-10-24_21h26.14.900_1_session_10.EDF	16634.740234375	2023-10-24 21:37:14.987500
2023-10-24	22:14:23.042500	sub-001/ses-010/func/sub-001_ses-010_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-24_22h10.40.236_0_session_10.EDF	1844.7626953125	2023-10-24 22:14:23.042500
2023-10-24	22:20:31.202500	sub-001/ses-010/func/sub-001_ses-010_task-rsmovie_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-24_22h18.14.132_0_session_10.EDF	14375.861328125	2023-10-24 22:20:31.202500
2023-10-24	22:42:00.302500	sub-001/ses-010/func/sub-001_ses-010_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-24_22h41.05.920_0_session_10.EDF	3721.810546875	2023-10-24 22:42:00.302500
2023-10-25	20:34:37.907500	sub-001/ses-011/dwi/sub-001_ses-011_acq-reliability_dir-AP_run-1_dwi.nii.gz	session2023-10-25T20:20:54.acq,session2023-10-25T21:22:50.acq	n/a	n/a	2023-10-25 20:34:37.907500
2023-10-25	20:38:27.755000	sub-001/ses-011/dwi/sub-001_ses-011_acq-reliability_dir-AP_run-2_dwi.nii.gz	n/a	fixation_2023-10-25_20h37.34.053_7_session_11.EDF	5206.1064453125	2023-10-25 20:38:27.755000
2023-10-25	21:15:54.240000	sub-001/ses-011/func/sub-001_ses-011_task-qct_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-25_21h12.18.840_0_session_11.EDF	1832.87109375	2023-10-25 21:15:54.240000
2023-10-25	21:24:52.242500	sub-001/ses-011/func/sub-001_ses-011_task-rsmovie_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-25_21h23.26.254_0_session_11.EDF	14517.474609375	2023-10-25 21:24:52.242500
2023-10-25	21:48:37.325000	sub-001/ses-011/func/sub-001_ses-011_task-bht_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-25_21h47.06.131_1_session_11.EDF	3703.130859375	2023-10-25 21:48:37.325000
2023-10-26	19:31:49.645000	sub-001/ses-013/dwi/sub-001_ses-013_acq-reliability_dir-PA_dwi.nii.gz	session2023-10-26T19:16:00.acq,session2023-10-26T21:25:29.acq,session2023-10-26T21:44:06.acq	fixation_2023-10-26_19h27.13.413_3_session_13.EDF	3644.70703125	2023-10-26 19:31:49.645000
2023-10-26	20:09:01.375000	sub-001/ses-013/func/sub-001_ses-013_task-qct_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-26_20h05.24.294_0_session_13.EDF	1843.03515625	2023-10-26 20:09:01.375000
2023-10-26	20:15:23.232500	sub-001/ses-013/func/sub-001_ses-013_task-rsmovie_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-26_20h13.47.119_1_session_13.EDF	14441.822265625	2023-10-26 20:15:23.232500
2023-10-26	20:37:35.302500	sub-001/ses-013/func/sub-001_ses-013_task-bht_dir-PA_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-26_20h36.26.995_1_session_13.EDF	3723.1279296875	2023-10-26 20:37:35.302500
2023-10-27	19:25:44.610000	sub-001/ses-015/dwi/sub-001_ses-015_acq-reliability_dir-AP_dwi.nii.gz	session2023-10-27T19:09:15.acq	fixation_2023-10-27_19h24.33.684_1_session_15.EDF	7968.0986328125	2023-10-27 19:25:44.610000
2023-10-27	20:03:08.337500	sub-001/ses-015/func/sub-001_ses-015_task-qct_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-27_19h59.03.664_0_session_15.EDF	1853.259765625	2023-10-27 20:03:08.337500
2023-10-27	20:10:56.215000	sub-001/ses-015/func/sub-001_ses-015_task-rsmovie_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-27_20h06.19.329_0_session_15.EDF	14563.7138671875	2023-10-27 20:10:56.215000
2023-10-27	20:32:45.210000	sub-001/ses-015/func/sub-001_ses-015_task-bht_dir-AP_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-27_20h31.31.806_0_session_15.EDF	3704.3408203125	2023-10-27 20:32:45.210000
2023-10-27	21:16:12.782500	sub-001/ses-016/dwi/sub-001_ses-016_acq-reliability_dir-RL_dwi.nii.gz	session2023-10-27T21:01:57.acq	fixation_2023-10-27_21h14.58.939_0_session_16.EDF	12072.3984375	2023-10-27 21:16:12.782500
2023-10-27	21:54:32.217500	sub-001/ses-016/func/sub-001_ses-016_task-qct_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	qct_2023-10-27_21h50.56.832_0_session_16.EDF	1905.9541015625	2023-10-27 21:54:32.217500
2023-10-27	22:01:07.437500	sub-001/ses-016/func/sub-001_ses-016_task-rsmovie_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	rest_2023-10-27_21h59.57.982_0_session_16.EDF	14782.0126953125	2023-10-27 22:01:07.437500
2023-10-27	22:23:08.222500	sub-001/ses-016/func/sub-001_ses-016_task-bht_dir-RL_echo-1_part-mag_bold.nii.gz	n/a	bht_2023-10-27_22h22.00.459_0_session_16.EDF	3805.3466796875	2023-10-27 22:23:08.222500
